"SYMBOL 
","COMPANY 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
"
LALPATHLAB,Dr. Lal Path Labs Ltd.,Dr. Lal PathLabs Employees Welfare Trust,Other,Equity Shares,313286,0.38,,3350,2971177,Sell,Equity Shares,309936
LALPATHLAB,Dr. Lal Path Labs Ltd.,Shankha Banerjee,Employees/Designated Employees,Equity Shares,23410,0.03,,1350,13500,Buy,Equity Shares,24760
SIEMENS,Siemens Limited,Siemens Energy Holding B.V.,Promoters,Equity Shares,21367216,6,,17806013,69146980583,Sell,Equity Shares,3561203
LTTS,L&T Technology Services Limited,P RAMAKRISHNAN,Employees/Designated Employees,Equity Shares,20000,0.02,,2000,10209300,Sell,Equity Shares,18000
LTTS,L&T Technology Services Limited,MAHALINGAM V,Employees/Designated Employees,Equity Shares,760,0,,710,3500589,Sell,Equity Shares,50
LTTS,L&T Technology Services Limited,SONAL VAIDYA,Employees/Designated Employees,Equity Shares,3702,0,,500,2571500,Sell,Equity Shares,3202
LTTS,L&T Technology Services Limited,DEVENDRA AUTI,Employees/Designated Employees,Equity Shares,2500,0,,1000,2000,Buy,Equity Shares,3500
LTTS,L&T Technology Services Limited,DEVENDRA AUTI,Employees/Designated Employees,Equity Shares,3500,0,,481,2549300,Sell,Equity Shares,3019
ESFL,Essen Speciality Films Limited,Jainil Kirit Vachhani,Immediate relative,Equity Shares,1200,0.01,,7200,1635240,Buy,Equity Shares,8400
BAJAJELEC,Bajaj Electricals Limited,VINAYAKRAO K RAJE,Employees/Designated Employees,Equity Shares,6966,0.01,,1100,1111550,Sell,Equity Shares,5866
BAJAJ-AUTO,Bajaj Auto Limited,C S ANAWALIKAR,Employees/Designated Employees,Equity Shares,Nil,0,,135,525116,Buy,Equity Shares,135
BAJAJ-AUTO,Bajaj Auto Limited,C S ANAWALIKAR,Employees/Designated Employees,Equity Shares,135,0,,135,844425,Sell,Equity Shares,Nil
BAJAJ-AUTO,Bajaj Auto Limited,Ramtilak Ananthan,Employees/Designated Employees,Equity Shares,Nil,0,,700,2059855,Buy,Equity Shares,700
LTIM,LTIMindtree Limited,SARBAJIT DEB,Employees/Designated Employees,Equity Shares,32139,0.01,,200,1227000,Sell,Equity Shares,31939
LTIM,LTIMindtree Limited,PANEESH RAO,Employees/Designated Employees,Equity Shares,14091,0,,2000,12200000,Sell,Equity Shares,12091
